档位,院校代号,院校名称,所在省,城市,城市标签,院校标签,院校水平,类型,公私性质,保研率,院校排名,2025投档线,位次比值,院校专业组代码,专业组名称,专业代码,专业名称,专业备注,学制,学费,计划人数,25专业最低分,25专业最低位次
冲,5112,西南民族大学,四川,成都,新一线/省会,国重点/保研资格,卓越法律/卓越农林/部委直属,民族,公办,5.3%,207,305.4,1.09,5112104,第104组(美术与设计类),005,动画,,四年,12000,3,305.4,31
冲,5112,西南民族大学,四川,成都,新一线/省会,国重点/保研资格,卓越法律/卓越农林/部委直属,民族,公办,5.3%,207,305.4,1.09,5112104,第104组(美术与设计类),006,绘画,,四年,12000,5,305.4,31
冲,5112,西南民族大学,四川,成都,新一线/省会,国重点/保研资格,卓越法律/卓越农林/部委直属,民族,公办,5.3%,207,305.4,1.09,5112104,第104组(美术与设计类),007,雕塑,,四年,12000,3,305.4,31
冲,6114,西安外国语大学,陕西,西安,新一线/省会,省重点/保研资格,,语言,公办,4.3%,241,305.5,1.08,6114104,第104组(美术与设计类),002,数字媒体艺术,,四年,14000,2,305.5,31
冲,4312,中南林业科技大学,湖南,长沙,新一线/省会,省重点/保研资格,原林业部直属/卓越农林/省部共建,农林,公办,5.5%,219,305.6,1.07,4312103,第103组(美术与设计类),005,视觉传达设计,,四年,8000,33,305.6,31
冲,4312,中南林业科技大学,湖南,长沙,新一线/省会,省重点/保研资格,原林业部直属/卓越农林/省部共建,农林,公办,5.5%,219,305.6,1.07,4312103,第103组(美术与设计类),006,环境设计,,四年,8000,73,305.6,31
冲,4312,中南林业科技大学,湖南,长沙,新一线/省会,省重点/保研资格,原林业部直属/卓越农林/省部共建,农林,公办,5.5%,219,305.6,1.07,4312103,第103组(美术与设计类),007,产品设计,,四年,8000,49,305.6,31
冲,3320,浙江科技大学,浙江,杭州,新一线/省会,,卓越工程师,理工,公办,,232,305.7,1.06,3320101,第101组(美术与设计类),001,动画,第一学年在安吉校区，第二学年起在小和山校区。,四年,9000,6,305.7,31
冲,3320,浙江科技大学,浙江,杭州,新一线/省会,,卓越工程师,理工,公办,,232,305.7,1.06,3320101,第101组(美术与设计类),002,产品设计,第一学年在安吉校区，第二学年起在小和山校区。,四年,9000,3,305.7,31
冲,3320,浙江科技大学,浙江,杭州,新一线/省会,,卓越工程师,理工,公办,,232,305.7,1.06,3320101,第101组(美术与设计类),003,视觉传达设计,第一学年在安吉校区，第二学年起在小和山校区。,四年,10350,1,305.7,31
冲,3320,浙江科技大学,浙江,杭州,新一线/省会,,卓越工程师,理工,公办,,232,305.7,1.06,3320101,第101组(美术与设计类),004,环境设计,第一学年在安吉校区，第二学年起在小和山校区。,四年,10350,8,305.7,31
冲,3320,浙江科技大学,浙江,杭州,新一线/省会,,卓越工程师,理工,公办,,232,305.7,1.06,3320101,第101组(美术与设计类),005,服装与服饰设计,第一学年在安吉校区，第二学年起在小和山校区。,四年,10350,13,305.7,31
冲,1128,北京联合大学,北京,朝阳区,一线,保研资格,,综合,公办,,306,306.4,1.02,1128102,第102组(美术与设计类),003,视觉传达设计,,四年,10000,2,306.4,31
冲,1128,北京联合大学,北京,朝阳区,一线,保研资格,,综合,公办,,306,306.4,1.02,1128102,第102组(美术与设计类),004,环境设计,,四年,10000,2,306.4,31
冲,1128,北京联合大学,北京,朝阳区,一线,保研资格,,综合,公办,,306,306.4,1.02,1128102,第102组(美术与设计类),006,数字媒体艺术,,四年,10000,2,306.4,31
冲,1304,燕山大学,河北,秦皇岛,四线,省重点/保研资格,原机械部直属/卓越工程师/机械四小龙/省部共建,综合,公办,11.8%,109,306.4,1.02,1304104,第104组(美术与设计类),004,设计学类,包含专业:视觉传达设计、环境设计、产品设计。,四年,8000,20,306.4,31
冲,6107,陕西科技大学,陕西,西安,新一线/省会,省重点/保研资格,原轻工业部直属/卓越工程师,理工,公办,6.0%,132,306.5,1.01,6107102,第102组(美术与设计类),002,设计学类,包含专业:动画、视觉传达设计、环境设计、服装与服饰设计、艺术与科技。,四年,15120,8,306.5,31
冲,1411,中北大学,山西,太原,二线/省会,省重点/保研资格,原兵器部直属/卓越工程师/兵工七子/省部共建,综合,公办,5.1%,144,306.7,1.0,1411104,第104组(美术与设计类),005,视觉传达设计,,四年,8970,5,306.7,31
冲,5307,云南艺术学院,云南,昆明,二线/省会,,,艺术,公办,,/,306.7,1.0,5307119,第119组(美术与设计类),023,美术学(史论),,四年,8500,1,301.3,31
冲,5307,云南艺术学院,云南,昆明,二线/省会,,,艺术,公办,,/,306.7,1.0,5307119,第119组(美术与设计类),024,绘画,,四年,10000,6,301.3,31
