类别,年份,本科_文化,本科_专业,高职专科_文化,高职专科_专业
音乐类,2024,316,249,160,155
音乐类,2025,324,203,160,155
音乐类,2026,320,209,160,155
舞蹈类,2024,295,226,160,155
舞蹈类,2025,303,225,160,155
舞蹈类,2026,300,174,160,155
表(导)演类_服装表演类,2024,295,218,160,155
表(导)演类_服装表演类,2025,303,220,160,155
表(导)演类_服装表演类,2026,300,221,160,155
表(导)演类_戏剧表演类,2024,295,243,160,155
表(导)演类_戏剧表演类,2025,303,240,160,155
表(导)演类_戏剧表演类,2026,300,231,160,155
表(导)演类_戏剧影视导演类,2024,295,238,160,155
表(导)演类_戏剧影视导演类,2025,303,239,160,155
表(导)演类_戏剧影视导演类,2026,300,233,160,155
播音与主持类,2024,422,179,160,155
播音与主持类,2025,405,211,160,155
播音与主持类,2026,400,189,160,155
美术与设计类,2024,316,224,160,155
美术与设计类,2025,324,218,160,155
美术与设计类,2026,320,197,160,155
书法类,2024,316,231,160,155
书法类,2025,324,230,160,155
书法类,2026,320,222,160,155
