专业门类,年份,本科_文化,本科_专业,专科_文化,专科_专业
师范类,2024,596,,200,
师范类,2025,567,,200,
种植类,2024,552,,200,
种植类,2025,540,,200,
养殖类,2024,530,,200,
养殖类,2025,522,,200,
机电类,2024,566,,200,
机电类,2025,562,,200,
电子电工类,2024,548,,200,
电子电工类,2025,526,,200,
计算机类,2024,598,,200,
计算机类,2025,599,,200,
建筑类,2024,528,,200,
建筑类,2025,526,,200,
旅游类,2024,598,,200,
旅游类,2025,587,,200,
医卫类,2024,586,,200,
医卫类,2025,551,,200,
财会类,2024,510,,200,
财会类,2025,530,,200,
商贸类,2024,594,,200,
商贸类,2025,599,,200,
文秘类,2024,614,,200,
文秘类,2025,544,,200,
英语类,2024,359,,200,
英语类,2025,482,,200,
音乐类,2024,212,319,160,155
音乐类,2025,200,315,160,155
美术类,2024,268,304,160,155
美术类,2025,250,308,160,155
服装类,2024,259,287,160,155
服装类,2025,238,285,160,155
