档分,本段人数,累计人数(含优惠加分)
694,11,62
693,16,78
692,14,92
691,7,99
690,12,111
689,19,130
688,17,147
687,18,165
686,24,189
685,24,213
684,27,240
683,32,272
682,25,297
681,36,333
680,38,371
679,34,405
678,41,446
677,39,485
676,58,543
675,56,599
674,56,655
673,54,709
672,69,778
671,66,844
670,58,902
669,71,973
668,78,1051
667,72,1123
666,96,1219
665,85,1304
664,82,1386
663,101,1487
662,106,1593
661,116,1709
660,108,1817
659,122,1939
658,118,2057
657,117,2174
656,106,2280
655,110,2390
654,123,2513
653,148,2661
652,161,2822
651,142,2964
650,167,3131
649,157,3288
648,184,3472
647,155,3627
646,197,3824
645,185,4009
644,203,4212
643,201,4413
642,217,4630
641,206,4836
640,255,5091
639,213,5304
638,226,5530
637,256,5786
636,242,6028
635,243,6271
634,223,6494
633,238,6732
632,230,6962
631,284,7246
630,280,7526
629,293,7819
628,263,8082
627,291,8373
626,270,8643
625,276,8919
624,339,9258
623,346,9604
622,335,9939
621,360,10299
620,322,10621
619,345,10966
618,328,11294
617,368,11662
616,349,12011
615,384,12395
614,357,12752
613,385,13137
612,400,13537
611,397,13934
610,421,14355
609,377,14732
608,419,15151
607,424,15575
606,472,16047
605,474,16521
604,469,16990
603,463,17453
602,461,17914
601,469,18383
600,493,18876
599,496,19372
598,526,19898
597,524,20422
596,474,20896
595,500,21396
594,555,21951
593,502,22453
592,523,22976
591,527,23503
590,562,24065
589,575,24640
588,564,25204
587,571,25775
586,594,26369
585,583,26952
584,625,27577
583,582,28159
582,585,28744
581,627,29371
580,642,30013
579,639,30652
578,589,31241
577,661,31902
576,624,32526
575,639,33165
574,666,33831
573,665,34496
572,729,35225
571,716,35941
570,700,36641
569,713,37354
568,718,38072
567,717,38789
566,699,39488
565,732,40220
564,698,40918
563,735,41653
562,745,42398
561,724,43122
560,806,43928
559,791,44719
558,792,45511
557,762,46273
556,812,47085
555,837,47922
554,796,48718
553,832,49550
552,820,50370
551,824,51194
550,861,52055
549,809,52864
548,844,53708
547,849,54557
546,889,55446
545,854,56300
544,921,57221
543,865,58086
542,859,58945
541,894,59839
540,902,60741
539,957,61698
538,929,62627
537,984,63611
536,900,64511
535,954,65465
534,961,66426
533,943,67369
532,970,68339
531,982,69321
530,1081,70402
529,988,71390
528,1069,72459
527,1022,73481
526,1043,74524
525,1069,75593
524,1031,76624
523,1049,77673
522,1028,78701
521,1046,79747
520,1020,80767
519,1150,81917
518,1056,82973
517,1104,84077
516,1108,85185
515,1030,86215
514,1156,87371
513,1134,88505
512,1085,89590
511,1162,90752
510,1143,91895
509,1118,93013
508,1164,94177
507,1219,95396
506,1186,96582
505,1153,97735
504,1146,98881
503,1146,100027
502,1251,101278
501,1223,102501
500,1248,103749
499,1212,104961
498,1255,106216
497,1191,107407
496,1211,108618
495,1217,109835
494,1226,111061
493,1218,112279
492,1265,113544
491,1266,114810
490,1361,116171
489,1223,117394
488,1252,118646
487,1204,119850
486,1286,121136
485,1232,122368
484,1237,123605
483,1234,124839
482,1234,126073
481,1296,127369
480,1226,128595
479,1247,129842
478,1227,131069
477,1262,132331
476,1285,133616
475,1252,134868
474,1250,136118
473,1274,137392
472,1293,138685
471,1263,139948
470,1262,141210
469,1273,142483
468,1277,143760
467,1327,145087
466,1230,146317
465,1278,147595
464,1255,148850
463,1298,150148
462,1236,151384
461,1304,152688
460,1270,153958
459,1295,155253
458,1266,156519
457,1210,157729
456,1228,158957
455,1307,160264
454,1214,161478
453,1268,162746
452,1163,163909
451,1278,165187
450,1146,166333
449,1179,167512
448,1293,168805
447,1223,170028
446,1263,171291
445,1178,172469
444,1223,173692
443,1194,174886
442,1203,176089
441,1231,177320
440,1219,178539
439,1210,179749
438,1206,180955
437,1191,182146
436,1178,183324
435,1172,184496
434,1176,185672
433,1206,186878
432,1144,188022
431,1170,189192
430,1127,190319
429,1124,191443
428,1132,192575
427,1114,193689
426,1127,194816
425,1131,195947
424,1059,197006
423,1131,198137
422,1077,199214
421,1028,200242
420,1082,201324
419,1114,202438
418,1104,203542
417,1085,204627
416,1050,205677
415,975,206652
414,1012,207664
413,1005,208669
412,1000,209669
411,1002,210671
410,1043,211714
409,965,212679
408,970,213649
407,1041,214690
406,975,215665
405,982,216647
404,956,217603
403,955,218558
402,900,219458
401,891,220349
400,891,221240
399,903,222143
398,932,223075
397,920,223995
396,869,224864
395,894,225758
394,840,226598
393,896,227494
392,935,228429
391,812,229241
390,813,230054
389,862,230916
388,805,231721
387,828,232549
386,841,233390
385,816,234206
384,785,234991
383,791,235782
382,775,236557
381,796,237353
380,790,238143
379,769,238912
378,814,239726
377,759,240485
376,789,241274
375,756,242030
374,757,242787
373,735,243522
372,678,244200
371,684,244884
370,710,245594
369,736,246330
368,687,247017
367,680,247697
366,696,248393
365,700,249093
364,685,249778
363,646,250424
362,648,251072
361,655,251727
360,639,252366
359,612,252978
358,646,253624
357,631,254255
356,613,254868
355,616,255484
354,600,256084
353,602,256686
352,632,257318
351,599,257917
350,610,258527
349,559,259086
348,577,259663
347,570,260233
346,565,260798
345,574,261372
344,561,261933
343,543,262476
342,521,262997
341,530,263527
340,525,264052
339,548,264600
338,464,265064
337,497,265561
336,510,266071
335,498,266569
334,497,267066
333,490,267556
332,460,268016
331,486,268502
330,502,269004
329,458,269462
328,479,269941
327,441,270382
326,441,270823
325,405,271228
324,430,271658
323,422,272080
322,429,272509
321,453,272962
320,430,273392
319,426,273818
318,430,274248
317,382,274630
316,373,275003
315,378,275381
314,405,275786
313,373,276159
312,426,276585
311,402,276987
310,371,277358
309,422,277780
308,351,278131
307,373,278504
306,369,278873
305,348,279221
304,338,279559
303,357,279916
302,354,280270
301,321,280591
300,348,280939
299,327,281266
298,367,281633
297,313,281946
296,326,282272
295,298,282570
294,307,282877
293,299,283176
292,290,283466
291,284,283750
290,311,284061
289,297,284358
288,316,284674
287,286,284960
286,311,285271
285,266,285537
284,276,285813
283,271,286084
282,272,286356
281,264,286620
280,271,286891
279,267,287158
278,265,287423
277,261,287684
276,253,287937
275,287,288224
274,256,288480
273,244,288724
272,241,288965
271,237,289202
270,246,289448
269,215,289663
268,230,289893
267,246,290139
266,221,290360
265,227,290587
264,203,290790
263,190,290980
262,192,291172
261,224,291396
260,203,291599
259,210,291809
258,201,292010
257,177,292187
256,197,292384
255,186,292570
254,192,292762
253,151,292913
252,155,293068
251,185,293253
250,188,293441
249,164,293605
248,169,293774
247,165,293939
246,150,294089
245,148,294237
244,150,294387
243,135,294522
242,135,294657
241,135,294792
240,128,294920
239,134,295054
238,149,295203
237,131,295334
236,149,295483
235,106,295589
234,125,295714
233,116,295830
232,121,295951
231,93,296044
230,94,296138
229,97,296235
228,100,296335
227,104,296439
226,98,296537
225,75,296612
224,83,296695
223,86,296781
222,65,296846
221,58,296904
220,57,296961
219,55,297016
218,74,297090
217,67,297157
216,76,297233
215,50,297283
214,43,297326
213,54,297380
212,42,297422
211,47,297469
210,52,297521
209,45,297566
208,32,297598
207,35,297633
206,29,297662
205,31,297693
204,39,297732
203,30,297762
202,27,297789
201,27,297816
200,23,297839
199,26,297865
198,18,297883
197,20,297903
196,26,297929
195,23,297952
194,20,297972
193,24,297996
192,8,298004
191,23,298027
190,13,298040
189,12,298052
188,9,298061
187,19,298080
186,7,298087
185,10,298097
184,11,298108
183,13,298121
182,10,298131
181,8,298139
180,13,298152
179,16,298168
178,11,298179
177,14,298193
176,10,298203
175,12,298215
174,9,298224
173,9,298233
172,11,298244
171,10,298254
170,7,298261
169,7,298268
168,7,298275
167,5,298280
166,7,298287
165,6,298293
164,5,298298
163,3,298301
162,8,298309
161,8,298317
160,7,298324
159,8,298332
158,5,298337
157,11,298348
156,3,298351
155,3,298354
154,6,298360
153,7,298367
152,3,298370
151,4,298374
150,4,298378
149,2,298380
148,2,298382
147,5,298387
146,2,298389
145,3,298392
144,7,298399
143,6,298405
142,5,298410
141,1,298411
140,1,298412
139,2,298414
137,7,298421
136,2,298423
135,5,298428
134,5,298433
133,3,298436
132,3,298439
131,3,298442
129,1,298443
128,2,298445
127,1,298446
126,1,298447
125,1,298448
124,1,298449
123,1,298450
121,3,298453
120,1,298454
119,1,298455
118,4,298459
117,4,298463
116,3,298466
115,2,298468
113,2,298470
112,1,298471
111,4,298475
109,3,298478
107,1,298479
104,1,298480
103,5,298485
102,1,298486
101,3,298489
100,1,298490
100以下,1533,300023
