年份,综合成绩,本段人数,累计人数
2025,375.7,1,1
2025,372.3,1,2
2025,369.1,1,3
2025,367.7,1,4
2025,367.1,1,5
2025,365.8,1,6
2025,365.5,1,7
2025,365.0,1,8
2025,363.1,1,9
2025,362.2,1,10
2025,362.1,1,11
2025,362.0,2,13
2025,361.5,1,14
2025,360.7,1,15
2025,360.2,2,17
2025,360.1,1,18
2025,359.5,1,19
2025,359.0,1,20
2025,358.8,1,21
2025,358.2,1,22
2025,358.0,1,23
2025,357.8,1,24
2025,357.1,1,25
2025,356.8,1,26
2025,356.7,1,27
2025,356.2,1,28
2025,355.9,1,29
2025,355.7,1,30
2025,355.6,1,31
2025,355.5,1,32
2025,355.1,1,33
2025,355.0,1,34
2025,354.6,1,35
2025,354.5,1,36
2025,354.4,1,37
2025,354.3,1,38
2025,354.2,1,39
2025,353.9,1,40
2025,353.8,1,41
2025,353.7,1,42
2025,353.5,1,43
2025,353.4,1,44
2025,353.0,1,45
2025,352.8,1,46
2025,352.7,2,48
2025,352.6,1,49
2025,352.5,2,51
2025,352.3,1,52
2025,352.0,1,53
2025,351.9,1,54
2025,351.6,2,56
2025,351.4,2,58
2025,351.3,1,59
2025,351.2,2,61
2025,351.0,1,62
2025,350.9,1,63
2025,350.7,1,64
2025,350.4,1,65
2025,350.3,1,66
2025,350.2,2,68
2025,350.1,3,71
2025,349.9,1,72
2025,349.7,1,73
2025,349.6,1,74
2025,349.4,1,75
2025,349.2,2,77
2025,349.1,1,78
2025,349.0,2,80
2025,348.9,1,81
2025,348.8,1,82
2025,348.6,3,85
2025,348.5,1,86
2025,348.3,1,87
2025,348.1,1,88
2025,348.0,4,92
2025,347.8,1,93
2025,347.7,2,95
2025,347.6,2,97
2025,347.5,1,98
2025,347.1,1,99
2025,347.0,1,100
2025,346.9,1,101
2025,346.8,2,103
2025,346.7,2,105
2025,346.4,1,106
2025,346.3,1,107
2025,346.2,3,110
2025,346.0,3,113
2025,345.9,1,114
2025,345.8,2,116
2025,345.7,3,119
2025,345.5,3,122
2025,345.3,3,125
2025,344.9,1,126
2025,344.8,2,128
2025,344.7,1,129
2025,344.4,1,130
2025,344.2,3,133
2025,344.1,1,134
2025,344.0,1,135
2025,343.8,2,137
2025,343.6,3,140
2025,343.4,4,144
2025,343.3,1,145
2025,343.0,2,147
2025,342.8,2,149
2025,342.7,1,150
2025,342.6,1,151
2025,342.5,2,153
2025,342.4,1,154
2025,342.2,2,156
2025,342.1,2,158
2025,342.0,1,159
2025,341.9,1,160
2025,341.6,1,161
2025,341.4,2,163
2025,341.2,5,168
2025,341.1,2,170
2025,341.0,3,173
2025,340.8,3,176
2025,340.6,2,178
2025,340.5,1,179
2025,340.4,1,180
2025,340.3,3,183
2025,340.2,3,186
2025,340.0,2,188
2025,339.9,5,193
2025,339.8,1,194
2025,339.7,1,195
2025,339.6,3,198
2025,339.5,1,199
2025,339.4,4,203
2025,339.3,2,205
2025,339.2,4,209
2025,339.1,1,210
2025,339.0,2,212
2025,338.9,1,213
2025,338.8,2,215
2025,338.7,2,217
2025,338.6,1,218
2025,338.4,2,220
2025,338.3,1,221
2025,338.2,4,225
2025,338.0,3,228
2025,337.9,1,229
2025,337.8,2,231
2025,337.7,3,234
2025,337.6,2,236
2025,337.5,4,240
2025,337.4,4,244
2025,337.3,1,245
2025,337.2,2,247
2025,337.1,1,248
2025,337.0,3,251
2025,336.8,1,252
2025,336.7,1,253
2025,336.5,4,257
2025,336.4,2,259
2025,336.3,4,263
2025,336.2,1,264
2025,336.1,2,266
2025,335.9,3,269
2025,335.7,1,270
2025,335.6,2,272
2025,335.5,6,278
2025,335.4,3,281
2025,335.3,2,283
2025,335.2,4,287
2025,335.1,2,289
2025,335.0,2,291
2025,334.9,2,293
2025,334.7,2,295
2025,334.6,1,296
2025,334.5,4,300
2025,334.4,2,302
2025,334.3,5,307
2025,334.2,2,309
2025,334.1,3,312
2025,334.0,3,315
2025,333.9,1,316
2025,333.8,5,321
2025,333.7,2,323
2025,333.6,2,325
2025,333.5,3,328
2025,333.4,1,329
2025,333.3,4,333
2025,333.2,2,335
2025,333.1,2,337
2025,333.0,2,339
2025,332.9,6,345
2025,332.8,6,351
2025,332.7,4,355
2025,332.6,2,357
2025,332.5,4,361
2025,332.3,2,363
2025,332.2,1,364
2025,332.1,2,366
2025,332.0,4,370
2025,331.9,1,371
2025,331.8,2,373
2025,331.7,2,375
2025,331.6,3,378
2025,331.5,4,382
2025,331.4,4,386
2025,331.3,4,390
2025,331.2,6,396
2025,331.1,3,399
2025,331.0,3,402
2025,330.9,2,404
2025,330.8,6,410
2025,330.7,2,412
2025,330.6,4,416
2025,330.5,3,419
2025,330.4,3,422
2025,330.3,4,426
2025,330.2,2,428
2025,330.1,5,433
2025,330.0,7,440
2025,329.9,1,441
2025,329.8,7,448
2025,329.7,2,450
2025,329.6,5,455
2025,329.5,3,458
2025,329.4,5,463
2025,329.3,4,467
2025,329.2,3,470
2025,329.1,1,471
2025,329.0,4,475
2025,328.9,1,476
2025,328.8,3,479
2025,328.7,3,482
